Name,Address
Henrietta Town Hall,"475 Calkins Rd, Rochester, NY 14467, USA"
Hidden Valley Clubhouse,"199 Hidden Valley Rd, Rochester, NY 14624, USA"
Highlands at Pittsford Hahnemann Club,"301 Stoutenburgh Ln, Pittsford, NY 14534, USA"
Hilton Baptist Church,"101 Main St, Newport News, VA 23601, USA"
Hilton Fire Dept Exempt Club,"137 South Ave, Hilton, NY 14468, USA"
Irondequoit Community Center,"450 Skyview Centre Pkwy #200, Rochester, NY 14622, USA"
Irondequoit Public Library,"1290 Titus Ave, Rochester, NY 14617, USA"
Irondequoit United Church of Christ,"644 Titus Ave, Rochester, NY 14617, USA"
Jewish Community Center,"1200 Edgewood Ave, Rochester, NY 14618, USA"
Josana Stadium,"370 Jay St, Rochester, NY 14608, USA"
Journey Christian Church,"3955 Mt Read Blvd, Rochester, NY 14616, USA"
Kennedy Towers,"666 S Plymouth Ave, Rochester, NY 14608, USA"
Kidanemehret Ethiopian Orthodox Church,"120 Ontario St, Rochester, NY 14605, USA"
Kimball Park Lodge,"8000 W Ridge Rd, Brockport, NY 14420, USA"
Kings Bend Park North Lodge,"170 W Jefferson Rd, Pittsford, NY 14534, USA"
Kings Bend Park South Lodge,"170 W Jefferson Rd, Pittsford, NY 14534, USA"
La Grange Recreation Center,"455 La Grange Ave, Rochester, NY 14615, USA"
Lake Tower Community Room,"321 Lake Ave, Rochester, NY 14608, USA"
Lakeshore Community Church Front Atrium,"3651 Latta Rd, Rochester, NY 14612, USA"
Lakeview Community Church Meeting Room,"30 Long Pond Rd, Rochester, NY 14612, USA"
Lakeview Highrise TV Room,"4575 Lake Ave, Rochester, NY 14612, USA"
Legacy at Clover Blossom Front Parlor,"100 McAuley Dr, Rochester, NY 14610, USA"
Legacy at Erie Station,"1545 Erie Station Rd, Henrietta, NY 14467, USA"
Legacy at Park Crescent Front Living Room,"1000 Providence Cir, Rochester, NY 14616, USA"
Lexington Court Apts,"6 Christopher Ct, Rochester, NY 14606, USA"
Lodge at Sweden Town Park,"4745 Redman Rd, Brockport, NY 14420, USA"
Los Flamboyances Hi Rise Comm Room,"100 Borinquen Plaza, Rochester, NY 14605, USA"
Lutheran Church of Our Savior,"2415 Chili Ave, Rochester, NY 14624, USA"
Lutheran Church of the Incarnate Word Upper Level Church Narthex,"597 East Ave, Rochester, NY 14607, USA"
Lyell Branch Library,"956 Lyell Ave, Rochester, NY 14606, USA"
Mendon Community Center Meeting Room,"167 N Main St, Honeoye Falls, NY 14472, USA"
